Gen  117 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  118 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  119 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  120 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  121 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  122 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  123 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  124 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  125 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  126 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  127 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  128 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  129 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  130 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  131 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  132 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  133 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  134 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  135 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  136 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  137 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  138 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  139 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  140 | Barras usadas = 78 | Desperdicio = 29640 | % Desperdiciado = 6.79%
Gen  141 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  142 | Barras usadas = 78 | Desperdicio = 29640 | % Desperdiciado = 6.79%
Gen  143 | Barras usadas = 78 | Desperdicio = 29640 | % Desperdiciado = 6.79%
Gen  144 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  145 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  146 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  147 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  148 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  149 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  150 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  151 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  152 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  153 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  154 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  155 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  156 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  157 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  158 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  159 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  160 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  161 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  162 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  163 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  164 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  165 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  166 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  167 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  168 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  169 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  170 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  171 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  172 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  173 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  174 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  175 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  176 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  177 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  178 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  179 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  180 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  181 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  182 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  183 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  184 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  185 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  186 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  187 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  188 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  189 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  190 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  191 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  192 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  193 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  194 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  195 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  196 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  197 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  198 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  199 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  200 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  201 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  202 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  203 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  204 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  205 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  206 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  207 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  208 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  209 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  210 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  211 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  212 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  213 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  214 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  215 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  216 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  217 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  218 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  219 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  220 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  221 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  222 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  223 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  224 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  225 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  226 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  227 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  228 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  229 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  230 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  231 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  232 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  233 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  234 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  235 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  236 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  237 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  238 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  239 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  240 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  241 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  242 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  243 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  244 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  245 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  246 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  247 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
